,email,result,details
666,plumpton-h.school@det.nsw.edu.au,The email address plumpton-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT004.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:02:25 +0000
HELO ip-adress.com
250 SY4AUS01FT004.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <plumpton-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
667,plumptonho-s.school@det.nsw.edu.au,The email address plumptonho-s.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT021.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:02:34 +0000
HELO ip-adress.com
250 SY4AUS01FT021.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <plumptonho-s.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
668,plumpton-p.school@det.nsw.edu.au,The email address plumpton-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT019.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:02:43 +0000
HELO ip-adress.com
250 SY4AUS01FT019.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <plumpton-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [SY4AUS01FT019.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
669,pointclare-p.school@det.nsw.edu.au,The email address pointclare-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT024.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:02:52 +0000
HELO ip-adress.com
250 SY4AUS01FT024.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <pointclare-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
670,pomona-p.school@det.nsw.edu.au,The email address pomona-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT020.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:03:03 +0000
HELO ip-adress.com
250 ME3AUS01FT020.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <pomona-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
671,Alison.king5@det.nsw.edu.au,The email address Alison.king5@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT018.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:03:11 +0000
HELO ip-adress.com
250 SY4AUS01FT018.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <Alison.king5@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [SY4AUS01FT018.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
672,porthackin-h.school@det.nsw.edu.au,The email address porthackin-h.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT024.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:03:20 +0000
HELO ip-adress.com
250 ME3AUS01FT024.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <porthackin-h.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT024.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
673,ptkembla-p.school@det.nsw.edu.au,The email address ptkembla-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT021.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:03:30 +0000
HELO ip-adress.com
250 SY4AUS01FT021.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <ptkembla-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
674,admin@pmas.nsw.edu.au,The email address admin@pmas.nsw.edu.au is valid,"MX records:
ASPMX.L.GOOGLE.COM (10)
ALT1.ASPMX.L.GOOGLE.COM (20)
ALT2.ASPMX.L.GOOGLE.COM (20)
ASPMX2.GOOGLEMAIL.COM (30)
ASPMX3.GOOGLEMAIL.COM (30)

connected to ASPMX.L.GOOGLE.COM

dialog with ASPMX.L.GOOGLE.COM ok

220 mx.google.com ESMTP v36si26023526ott.282 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK v36si26023526ott.282 - gsmtp
RCPT TO: <admin@pmas.nsw.edu.au>
250 2.1.5 OK v36si26023526ott.282 - gsmtp
QUIT
221 2.0.0 closing connection v36si26023526ott.282 - gsmtp"
675,admin@portmacquariesteinerschool.nsw.edu.au,The email address admin@portmacquariesteinerschool.nsw.edu.au is valid,"MX records:
ASPMX.L.GOOGLE.COM (1)
ALT2.ASPMX.L.GOOGLE.COM (5)
ALT1.ASPMX.L.GOOGLE.COM (5)
ALT4.ASPMX.L.GOOGLE.COM (10)
ALT3.ASPMX.L.GOOGLE.COM (10)

connected to ASPMX.L.GOOGLE.COM

dialog with ASPMX.L.GOOGLE.COM ok

220 mx.google.com ESMTP o3si6541731wrn.325 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK o3si6541731wrn.325 - gsmtp
RCPT TO: <admin@portmacquariesteinerschool.nsw.edu.au>
250 2.1.5 OK o3si6541731wrn.325 - gsmtp
QUIT
221 2.0.0 closing connection o3si6541731wrn.325 - gsmtp"
676,portland-c.school@det.nsw.edu.au,The email address portland-c.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT021.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:03:57 +0000
HELO ip-adress.com
250 SY4AUS01FT021.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <portland-c.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [SY4AUS01FT021.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
677,pottsville-p.school@det.nsw.edu.au,The email address pottsville-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT010.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:04:07 +0000
HELO ip-adress.com
250 ME3AUS01FT010.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <pottsville-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
678,prairieval-p.school@det.nsw.edu.au,The email address prairieval-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT016.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:04:17 +0000
HELO ip-adress.com
250 ME3AUS01FT016.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <prairieval-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT016.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
679,enquiries@plc.nsw.edu.au,The email address enquiries@plc.nsw.edu.au is valid,"MX records:
aspmx.l.google.com (1)
alt1.aspmx.l.google.com (5)
alt2.aspmx.l.google.com (5)
alt4.aspmx.l.google.com (10)
alt3.aspmx.l.google.com (10)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP l124si31871158wml.29 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK l124si31871158wml.29 - gsmtp
RCPT TO: <enquiries@plc.nsw.edu.au>
250 2.1.5 OK l124si31871158wml.29 - gsmtp
QUIT
221 2.0.0 closing connection l124si31871158wml.29 - gsmtp"
680,prestons-p.school@det.nsw.edu.au,The email address prestons-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT014.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:04:33 +0000
HELO ip-adress.com
250 ME3AUS01FT014.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <prestons-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT014.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
681,primbee-p.school@det.nsw.edu.au,The email address primbee-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT017.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:04:43 +0000
HELO ip-adress.com
250 ME3AUS01FT017.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <primbee-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
682,prouille@dbb.catholic.edu.au,The email address prouille@dbb.catholic.edu.au is valid,"MX records:
dbb-catholic-edu-au.mail.protection.outlook.com (10)
mail.dbb.catholic.edu.au (99)
mail2.dbb.catholic.edu.au (99)
mail1.dbb.catholic.edu.au (99)

connected to dbb-catholic-edu-au.mail.protection.outlook.com

dialog with dbb-catholic-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT023.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:04:53 +0000
HELO ip-adress.com
250 ME3AUS01FT023.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <prouille@dbb.catholic.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
683,punchbowl-p.school@det.nsw.edu.au,The email address punchbowl-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT014.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:05:02 +0000
HELO ip-adress.com
250 ME3AUS01FT014.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <punchbowl-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT014.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
684,putney-p.school@det.nsw.edu.au,The email address putney-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT010.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:05:11 +0000
HELO ip-adress.com
250 SY4AUS01FT010.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <putney-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
685,communityengagement@pymblelc.nsw.edu.au,The email address communityengagement@pymblelc.nsw.edu.au is not valid,"MX records:
pymblelc-nsw-edu-au.mail.protection.outlook.com (1)
inbound-smtp.us-east-1.amazonaws.com (10)
pymblelc-nsw-edu-au.mail.eo.outlook.com (20)

connected to pymblelc-nsw-edu-au.mail.protection.outlook.com

dialog with pymblelc-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT024.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:05:21 +0000
HELO ip-adress.com
250 ME3AUS01FT024.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <communityengagement@pymblelc.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT024.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
686,quakershie-p.school@det.nsw.edu.au,The email address quakershie-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT023.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:05:30 +0000
HELO ip-adress.com
250 ME3AUS01FT023.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <quakershie-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
687,quakershil-p.school@det.nsw.edu.au,The email address quakershil-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT009.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:05:40 +0000
HELO ip-adress.com
250 ME3AUS01FT009.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <quakershil-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
688,queanbeyan-h.school@det.nsw.edu.au,The email address queanbeyan-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT008.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:05:50 +0000
HELO ip-adress.com
250 ME3AUS01FT008.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <queanbeyan-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
689,queanbeyan-p.school@det.nsw.edu.au,The email address queanbeyan-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT011.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:05:59 +0000
HELO ip-adress.com
250 SY4AUS01FT011.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <queanbeyan-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
690,queanbeyas-p.school@det.nsw.edu.au,The email address queanbeyas-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT021.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:06:08 +0000
HELO ip-adress.com
250 SY4AUS01FT021.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <queanbeyas-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
691,queanbeyaw-p.school@det.nsw.edu.au,The email address queanbeyaw-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT024.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:06:17 +0000
HELO ip-adress.com
250 SY4AUS01FT024.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <queanbeyaw-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
692,q@queenwood.nsw.edu.au,The email address q@queenwood.nsw.edu.au is not valid,"MX records:
queenwood-nsw-edu-au.mail.protection.outlook.com (0)

connected to queenwood-nsw-edu-au.mail.protection.outlook.com

dialog with queenwood-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT005.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:06:28 +0000
HELO ip-adress.com
250 ME3AUS01FT005.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <q@queenwood.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT005.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
693,raglan-p.school@det.nsw.edu.au,The email address raglan-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT019.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:06:39 +0000
HELO ip-adress.com
250 ME3AUS01FT019.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <raglan-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
694,rand-p.school@det.nsw.edu.au,The email address rand-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT006.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:06:47 +0000
HELO ip-adress.com
250 ME3AUS01FT006.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <rand-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
695,randwickb-h.school@det.nsw.edu.au,The email address randwickb-h.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT004.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:06:56 +0000
HELO ip-adress.com
250 ME3AUS01FT004.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <randwickb-h.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT004.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
696,randwickg-h.school@det.nsw.edu.au,The email address randwickg-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT004.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:07:06 +0000
HELO ip-adress.com
250 ME3AUS01FT004.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <randwickg-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
697,randwick-p.school@det.nsw.edu.au,The email address randwick-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT017.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:07:15 +0000
HELO ip-adress.com
250 ME3AUS01FT017.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <randwick-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
698,rankinspr-p.school@det.nsw.edu.au,The email address rankinspr-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT011.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:07:25 +0000
HELO ip-adress.com
250 ME3AUS01FT011.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <rankinspr-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT011.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
699,redhill-e.school@det.nsw.edu.au,The email address redhill-e.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT016.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:07:35 +0000
HELO ip-adress.com
250 ME3AUS01FT016.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <redhill-e.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
700,tolland-p.school@det.nsw.edu.au,The email address tolland-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT024.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 08:07:44 +0000
HELO ip-adress.com
250 ME3AUS01FT024.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <tolland-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
